Time,Insertion Ratio,Deletion Ratio,Debug Ratio,Navigation Ratio,Focus Ratio,remove ratio,# of inserts,# of deletions,# of debugs,# of navigations,# of focus,# of removes,insertion time ratio,deletion time ratio,debug time ratio,navigation time ratio,focus time ratio,mean insertion time,mean deletion time,mean debug time,mean navigation time,mean focus time,mean compilation error time,mean content asisst time,mean time between events,total insertion time,total deletion time,total debug time,total navigation time,total focus time,total compilation error time,total content asisst time,total time between events
9/23/13 1:23 PM,93.10344828,0,0,6.896551724,0,0,27,0,0,2,0,0,0.894594338,0,0,0.105405662,0,32465.25926,0,0,51640.5,0,38064.5,0,1406.244898,876562,0,0,103281,0,609032,0,68906
9/23/13 1:23 PM,100,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,6567.285714,0,0,0,0,6826.707317,0,212.0408163,45971,0,0,0,0,279895,0,10390
9/23/13 1:23 PM,100,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,11049.83333,0,0,0,0,8973.485714,0,381.3877551,132598,0,0,0,0,314072,0,18688
9/23/13 1:24 PM,100,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,5638.5,0,0,0,0,5137.325,0,261.7959184,45108,0,0,0,0,205493,0,12828
9/23/13 1:26 PM,85.71428571,0,0,0,14.28571429,0,12,0,0,0,2,0,0.647145683,0,0,0,0.352854317,11942.75,0,0,0,39070.5,10776.73529,0,834.8163265,143313,0,0,0,78141,366409,0,40906
9/23/13 1:28 PM,66.66666667,0,0,14.28571429,19.04761905,0,14,0,0,3,4,0,0.520565209,0,0,0.2041264,0.275308391,91730.07692,0,0,155868.3333,157666.5,32940.96154,0,3598.816327,1192491,0,0,467605,630666,856465,0,176342
9/23/13 1:30 PM,60,20,0,0,20,0,6,2,0,0,2,0,0.588952449,0.212406386,0,0,0.198641165,86020.33333,93070,0,0,87038.5,65881.34211,0,2003.489796,516122,186140,0,0,174077,2503491,0,98171
9/23/13 1:31 PM,69.23076923,15.38461538,0,15.38461538,0,0,9,2,0,2,0,0,0.771968252,0.035258221,0,0.192773527,0,25806.55556,5304,0,28999.5,0,9629.75,0,1021.673469,232259,10608,0,57999,0,346671,0,50062
9/23/13 1:31 PM,100,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3246,0,0,0,0,2951.534884,0,116.0612245,12984,0,0,0,0,126916,0,5687
9/23/13 1:31 PM,85.71428571,0,0,14.28571429,0,0,6,0,0,1,0,0,1,0,0,0,0,3814.833333,0,0,0,0,3678,0,184.3061224,22889,0,0,0,0,154476,0,9031
9/23/13 1:32 PM,77.77777778,0,0,22.22222222,0,0,14,0,0,4,0,0,0.802715916,0,0,0.197284084,0,23150.78571,0,0,26552.33333,0,12079.3125,0,994.8979592,324111,0,0,79657,0,386538,0,48750
9/23/13 1:32 PM,100,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,3984.714286,0,0,0,0,5581.275,0,147.9591837,27893,0,0,0,0,223251,0,7250
9/23/13 1:33 PM,50,33.33333333,0,16.66666667,0,0,6,4,0,2,0,0,0.452699089,0.409030717,0,0.138270194,0,14529,19691.25,0,13313,0,18938.2973,0,440.6938776,87174,78765,0,26626,0,700717,0,21594
9/23/13 1:33 PM,53.84615385,15.38461538,0,30.76923077,0,0,7,2,0,4,0,0,0.533356815,0.250651935,0,0.21599125,0,12330.14286,20281,0,8738.25,0,9800.2,0,435.5714286,86311,40562,0,34953,0,343007,0,21343
9/23/13 1:33 PM,50,50,0,0,0,0,4,4,0,0,0,0,0.52199287,0.47800713,0,0,0,5746.75,5262.5,0,0,0,4004.04878,0,175.7142857,22987,21050,0,0,0,164166,0,8610
9/23/13 1:33 PM,75,25,0,0,0,0,6,2,0,0,0,0,0.735311131,0.264688869,0,0,0,5932,6406,0,0,0,5852.634146,0,200.877551,35592,12812,0,0,0,239958,0,9843
9/23/13 1:34 PM,50,41.66666667,0,8.333333333,0,0,6,5,0,1,0,0,0.511708142,0.444064075,0,0.044227783,0,22297,23219.4,0,11563,0,21452.91429,0,611.2857143,133782,116097,0,11563,0,750852,0,29953
9/23/13 1:37 PM,61.9047619,9.523809524,0,9.523809524,19.04761905,0,13,2,0,2,4,0,0.61325438,0.121382464,0,0.033869978,0.231493178,147395.0769,189632,0,52914,180827.25,171947.9286,0,3896.673469,1916136,379264,0,105828,723309,4814542,0,190937
9/23/13 1:37 PM,53.84615385,30.76923077,0,0,15.38461538,0,7,4,0,0,2,0,0.560230655,0.252749505,0,0,0.187019839,8979.857143,7089.75,0,0,10492,6211.090909,0,287.6326531,62859,28359,0,0,20984,204966,0,14094
9/23/13 1:39 PM,64.70588235,11.76470588,0,0,23.52941176,0,11,2,0,0,4,0,0.633782803,0.013234718,0,0,0.352982479,41357.72727,4750,0,0,63343.5,3600.413793,0,1760.510204,454935,9500,0,0,253374,104412,0,86265
9/23/13 1:39 PM,100,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,3396.75,0,0,0,0,3110.055556,0,133.3061224,40761,0,0,0,0,111962,0,6532
9/23/13 1:39 PM,90,0,0,10,0,0,9,0,0,1,0,0,0.923576049,0,0,0.076423951,0,5203.222222,0,0,3875,0,4217.307692,0,191.9591837,46829,0,0,3875,0,164475,0,9406
9/23/13 1:40 PM,64.70588235,29.41176471,0,5.882352941,0,0,11,5,0,1,0,0,0.701450016,0.285537074,0,0.013012909,0,28941.63636,32398.25,0,5906,0,25345.51515,0,1229.591837,318358,129593,0,5906,0,836402,0,60250
9/23/13 1:40 PM,73.33333333,20,0,6.666666667,0,0,11,3,0,1,0,0,0.861577775,0.068799299,0,0.069622926,0,14835.27273,4343.666667,0,13187,0,9407.83871,0,401.4693878,163188,13031,0,13187,0,291643,0,19672
9/23/13 1:40 PM,100,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2302,0,0,0,0,2306.413043,0,88.95918367,6906,0,0,0,0,106095,0,4359
9/23/13 1:41 PM,100,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,12694.57143,0,0,0,0,10854.80488,0,354.2857143,88862,0,0,0,0,445047,0,17360
9/23/13 1:41 PM,60,40,0,0,0,0,3,2,0,0,0,0,0.527433243,0.472566757,0,0,0,5655.666667,7601,0,0,0,5962.75,0,169,16967,15202,0,0,0,262361,0,8281
9/23/13 1:41 PM,100,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,805.25,0,0,0,0,939.8863636,0,32.85714286,3221,0,0,0,0,41355,0,1610
9/23/13 1:41 PM,100,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1617.5,0,0,0,0,1485.446809,0,52.6122449,3235,0,0,0,0,69816,0,2578
