@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute searchPercentage numeric
@Attribute debugPercentage numeric
@Attribute focusPercentage numeric
@Attribute editPercentage numeric
@Attribute removePercentage numeric
@Attribute stuck {YES,NO}

@data
0.0,57.49999999999999,5.0,37.5,0.0,NO
0.0,48.78048780487805,0.0,51.21951219512195,0.0,NO
2.5,0.0,85.0,12.5,0.0,NO
0.0,54.761904761904766,4.761904761904762,40.476190476190474,0.0,NO
0.0,12.0,16.0,72.0,0.0,NO
0.0,41.30434782608695,0.0,58.69565217391305,0.0,NO
0.0,59.09090909090909,0.0,40.909090909090914,0.0,NO
0.0,24.390243902439025,0.0,75.60975609756098,0.0,NO
7.5,5.0,10.0,77.5,0.0,NO
0.0,69.44444444444444,0.0,30.555555555555557,0.0,NO
6.25,56.25,0.0,37.5,0.0,NO
3.8461538461538463,46.15384615384615,7.6923076923076925,42.30769230769231,0.0,NO
0.0,53.84615384615385,15.384615384615385,30.76923076923077,0.0,NO
2.941176470588235,41.17647058823529,5.88235294117647,50.0,0.0,NO
3.0303030303030303,39.39393939393939,0.0,57.57575757575758,0.0,NO
0.0,47.82608695652174,0.0,52.17391304347826,0.0,NO
0.0,55.81395348837209,0.0,44.18604651162791,0.0,NO
3.125,34.375,6.25,56.25,0.0,NO
2.5,65.0,5.0,27.500000000000004,0.0,NO
0.0,77.77777777777779,0.0,22.22222222222222,0.0,NO
0.0,67.44186046511628,0.0,32.55813953488372,0.0,NO
0.0,67.44186046511628,9.30232558139535,23.25581395348837,0.0,NO
0.0,51.11111111111111,0.0,48.888888888888886,0.0,NO
0.0,85.1063829787234,0.0,14.893617021276595,0.0,NO
0.0,68.42105263157895,2.631578947368421,28.947368421052634,0.0,NO
13.043478260869565,52.17391304347826,21.73913043478261,13.043478260869565,0.0,NO
2.564102564102564,43.58974358974359,0.0,53.84615384615385,0.0,NO
