@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute editPercentage numeric
@Attribute debugPercentage numeric
@Attribute navigationPercentage numeric
@Attribute focusPercentage numeric
@Attribute removePercentage numeric
@Attribute webLinkTimes numeric
@Attribute stuck {YES,NO}

@data
0.0,0.0,0.0,0.0,0.0,0.0,NO
14.285714285714285,0.0,2.0408163265306123,79.59183673469387,4.081632653061225,10.0,NO
18.181818181818183,4.545454545454546,6.8181818181818175,70.45454545454545,0.0,2.0,NO
20.0,54.285714285714285,5.714285714285714,11.428571428571429,8.571428571428571,0.0,NO
27.659574468085108,51.06382978723404,0.0,17.02127659574468,4.25531914893617,0.0,NO
29.545454545454547,56.81818181818182,0.0,0.0,13.636363636363635,2.0,NO
29.78723404255319,55.319148936170215,0.0,4.25531914893617,10.638297872340425,2.0,NO
15.384615384615385,78.84615384615384,0.0,3.8461538461538463,1.9230769230769231,0.0,NO
20.0,71.11111111111111,0.0,0.0,8.88888888888889,2.0,NO
22.0,66.0,0.0,4.0,8.0,1.0,YES
28.846153846153843,50.0,0.0,11.538461538461538,9.615384615384617,0.0,NO
35.294117647058826,58.82352941176471,0.0,1.9607843137254901,3.9215686274509802,6.0,NO
23.684210526315788,42.10526315789473,0.0,21.052631578947366,13.157894736842104,3.0,YES
13.636363636363635,40.909090909090914,2.272727272727273,38.63636363636363,4.545454545454546,0.0,NO
26.666666666666668,53.333333333333336,4.444444444444445,13.333333333333334,2.2222222222222223,0.0,NO
23.52941176470588,66.66666666666666,0.0,7.8431372549019605,1.9607843137254901,0.0,NO
24.489795918367346,57.14285714285714,0.0,12.244897959183673,6.122448979591836,0.0,NO
29.72972972972973,45.94594594594595,8.108108108108109,5.405405405405405,10.81081081081081,0.0,NO
20.454545454545457,56.81818181818182,0.0,13.636363636363635,9.090909090909092,0.0,NO
34.61538461538461,57.692307692307686,0.0,0.0,7.6923076923076925,5.0,NO
28.888888888888886,48.888888888888886,2.2222222222222223,8.88888888888889,11.11111111111111,0.0,NO
33.33333333333333,40.476190476190474,7.142857142857142,14.285714285714285,4.761904761904762,0.0,NO
24.0,44.0,2.0,28.000000000000004,2.0,0.0,NO
10.638297872340425,61.702127659574465,4.25531914893617,12.76595744680851,10.638297872340425,0.0,NO
22.727272727272727,56.81818181818182,2.272727272727273,13.636363636363635,4.545454545454546,7.0,NO
26.666666666666668,55.55555555555556,4.444444444444445,13.333333333333334,0.0,3.0,NO
21.27659574468085,68.08510638297872,0.0,4.25531914893617,6.382978723404255,0.0,NO
27.450980392156865,60.78431372549019,0.0,7.8431372549019605,3.9215686274509802,0.0,NO
20.930232558139537,62.7906976744186,4.651162790697675,4.651162790697675,6.976744186046512,8.0,NO
22.641509433962266,73.58490566037736,0.0,3.7735849056603774,0.0,0.0,NO
15.686274509803921,80.3921568627451,0.0,0.0,3.9215686274509802,0.0,NO
14.000000000000002,80.0,0.0,0.0,6.0,0.0,NO
24.528301886792452,66.0377358490566,0.0,7.547169811320755,1.8867924528301887,0.0,NO
21.428571428571427,67.85714285714286,0.0,8.928571428571429,1.7857142857142856,9.0,NO
16.0,50.0,6.0,26.0,2.0,3.0,NO
28.846153846153843,50.0,3.8461538461538463,17.307692307692307,0.0,0.0,NO
31.914893617021278,51.06382978723404,2.127659574468085,6.382978723404255,8.51063829787234,0.0,NO
35.08771929824561,59.64912280701754,0.0,0.0,5.263157894736842,0.0,NO
25.53191489361702,63.829787234042556,0.0,0.0,10.638297872340425,0.0,NO
32.20338983050847,67.79661016949152,0.0,0.0,0.0,0.0,NO
25.0,60.416666666666664,0.0,8.333333333333332,6.25,0.0,NO
32.69230769230769,59.61538461538461,0.0,0.0,7.6923076923076925,0.0,NO
25.423728813559322,74.57627118644068,0.0,0.0,0.0,0.0,NO
28.30188679245283,66.0377358490566,0.0,0.0,5.660377358490567,0.0,NO
23.636363636363637,72.72727272727273,0.0,0.0,3.6363636363636362,0.0,NO
26.31578947368421,70.17543859649122,0.0,0.0,3.508771929824561,5.0,NO
18.367346938775512,55.10204081632652,10.204081632653061,12.244897959183673,4.081632653061225,0.0,NO
33.33333333333333,64.81481481481481,0.0,0.0,1.8518518518518516,0.0,NO
50.98039215686274,47.05882352941176,0.0,0.0,1.9607843137254901,0.0,NO
42.5531914893617,48.93617021276596,0.0,0.0,8.51063829787234,0.0,NO
18.367346938775512,63.26530612244898,2.0408163265306123,0.0,16.3265306122449,4.0,NO
22.727272727272727,43.18181818181818,15.909090909090908,13.636363636363635,4.545454545454546,0.0,NO
25.0,73.21428571428571,0.0,0.0,1.7857142857142856,0.0,NO
22.0,74.0,0.0,0.0,4.0,0.0,NO
12.82051282051282,51.28205128205128,5.128205128205128,25.64102564102564,5.128205128205128,3.0,NO
41.30434782608695,45.65217391304348,4.3478260869565215,4.3478260869565215,4.3478260869565215,0.0,NO
