 
Participant:29
Difficulty predicted at Mon Sep 23 13:34:07 EDT 2013
Difficulty predicted at Mon Sep 23 13:41:12 EDT 2013
Difficulty predicted at Mon Sep 23 13:41:17 EDT 2013
Difficulty predicted at Mon Sep 23 13:43:15 EDT 2013
Date:Mon Sep 23 13:44:43 EDT 2013 Surmountable?:false confirm previus prediction?true
Difficulty predicted at Mon Sep 23 13:51:43 EDT 2013
Difficulty predicted at Mon Sep 23 13:53:43 EDT 2013
Difficulty predicted at Mon Sep 23 13:54:10 EDT 2013
Difficulty predicted at Mon Sep 23 13:54:17 EDT 2013
Difficulty predicted at Mon Sep 23 13:54:56 EDT 2013
Date:Mon Sep 23 13:56:16 EDT 2013 correcting previous difficulty prediction
Date:Mon Sep 23 14:10:22 EDT 2013 Surmountable?:false confirm previus prediction?false
Difficulty predicted at Mon Sep 23 14:16:43 EDT 2013
Date:Mon Sep 23 14:30:46 EDT 2013 Surmountable?:false confirm previus prediction?false
